$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-1423.9,-117.09,-39427369634.04,-41488623468.72,-116.24,-211495732586.94,-270985289743.27,-196467751399.38,-356012336311.55,-31568705582.67
$\nu=1.5$,-7712584.27,-119.86,-39427293523.95,-41488651824.95,-116.25,-211495774281.03,-270985287963.23,-196468072214.58,-356012336311.55,-31568809587.79
$\nu=2.5$,-13874373.9,-121.55,-39427301847.43,-41488648452.25,-116.24,-211495775894.61,-270985403416.13,-196468088342.33,-356012245017.36,-31568592428.3
$\nu=\infty$,-23107856.3,-125.0,-39427269297.94,-41488611612.53,-116.22,-211495774776.46,-270985474299.36,-196468283213.99,-356012336311.55,-31568816301.64
