$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-1715697287.81,-144.63,-86706708429.18,-34673694612.67,-1792.77,-128988372615.85,-445874822085.94,-403613374805.59,-366007301754.19,-32940178676.21
$\nu=1.5$,-1737110728.59,-149.03,-86705648122.19,-34673673416.21,-19541100.58,-128995237365.45,-445874668462.84,-403613196524.15,-366007610413.27,-32940027922.28
$\nu=2.5$,-1754058773.69,-151.55,-86705558287.34,-34673623095.91,-35041843.61,-129000649561.68,-445874764717.84,-403613505291.48,-366006865638.32,-32939979420.4
$\nu=\infty$,-1779220201.04,-156.66,-86705645942.97,-34673548237.34,-58081872.46,-129008736098.95,-445874798107.95,-403613505291.48,-366007633964.04,-32939939462.42
