$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-129.07,-108.03,-114.71,-117.65,-130.54,-130.61,-126.16,-109.79,-124.23,-109.13,-110.86
$\nu=1.5$,-128.24,-107.45,-114.04,-116.88,-130.47,-130.6,-126.38,-109.59,-124.84,-108.13,-110.41
$\nu=2.5$,-128.09,-107.18,-113.91,-116.64,-130.45,-130.6,-126.47,-109.64,-124.92,-107.83,-110.35
$\nu=\infty$,-127.93,-106.79,-113.58,-116.39,-130.39,-130.59,-126.47,-109.84,-124.93,-107.43,-110.36
