$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-702.91,-130.47,-75859144405.31,-61771261684.37,-14369.71,-260124822478.86,-370425390404.39,-339126268135.12,-431516946337.72,-21820944924.8,-130.54
$\nu=1.5$,-3294102.66,-131.34,-75858417137.13,-61771012594.78,-255863105.63,-260216699506.63,-370425290068.02,-339126476366.96,-431516985341.93,-21820994720.16,-130.54
$\nu=2.5$,-5925582.56,-131.99,-75859449910.81,-61771031062.07,-492118879.22,-260290385373.82,-370425352144.99,-339126517107.18,-431516967557.9,-21821023584.7,-130.54
$\nu=\infty$,-9868506.41,-133.44,-75858361242.34,-61770972725.92,-1069847735.29,-260400711387.27,-370425294421.17,-339126721937.49,-431516578965.98,-21821097595.24,-130.54
