$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-121.52,-116.39,-116.96,-112.01,-116.05,-119.57,-115.44,-113.7,-122.52,-118.89
$\nu=1.5$,-121.46,-115.66,-116.69,-111.13,-115.08,-119.47,-114.71,-114.08,-122.5,-118.64
$\nu=2.5$,-121.43,-115.41,-116.62,-111.08,-114.91,-119.44,-114.55,-114.17,-122.5,-118.57
$\nu=\infty$,-121.36,-114.97,-116.55,-111.11,-114.73,-119.36,-114.34,-114.14,-122.48,-118.43
