$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-851604516.96,-133.52,-66750965846.87,-26724281189.23,-1459.76,-109357083811.64,-406422295922.7,-374581782742.82,-332868418126.06,-28476294726.18
$\nu=1.5$,-869995752.81,-137.58,-66750553537.76,-26724586851.11,-12807972.4,-109363652002.66,-406422297561.42,-374581985485.68,-332868080298.63,-28475945260.64
$\nu=2.5$,-884572664.75,-139.85,-66750345300.77,-26724571637.34,-22995569.16,-109368874163.08,-406422331143.47,-374581975112.88,-332868156031.79,-28475944677.3
$\nu=\infty$,-906211688.62,-144.49,-66750512481.93,-26724238374.44,-38184677.82,-109376677304.53,-406422340291.27,-374581972448.55,-332868050742.42,-28475947981.65
