$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-1549741095.06,-144.33,-75199511431.58,-31319778144.96,-1700.35,-156499095701.53,-413017293652.08,-363846694041.21,-375908632930.1,-29754013558.28
$\nu=1.5$,-1569211564.4,-148.35,-75199548542.17,-31319814062.49,-19191513.3,-156505286271.16,-413017473698.43,-363846770455.2,-375907985388.8,-29753783015.69
$\nu=2.5$,-1584619876.03,-150.69,-75198279904.92,-31319978496.97,-34403982.63,-156510174961.68,-413017664738.18,-363846715026.82,-375908557078.45,-29753749708.53
$\nu=\infty$,-1607496255.11,-155.45,-75198338407.2,-31319721885.85,-56997188.06,-156517479312.19,-413017802991.76,-363846835052.78,-375908667287.6,-29753801883.87
