$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-130.48,-130.69,-129.57,-130.25,-129.64,-129.96,-131.52,-131.24,-130.12,-130.18,-130.52
$\nu=1.5$,-130.48,-130.74,-129.4,-130.09,-129.34,-129.71,-131.45,-131.24,-130.12,-130.18,-130.5
$\nu=2.5$,-130.47,-130.76,-129.35,-130.03,-129.23,-129.62,-131.43,-131.24,-130.12,-130.18,-130.48
$\nu=\infty$,-130.47,-130.77,-129.25,-129.9,-129.05,-129.47,-131.41,-131.24,-130.12,-130.18,-130.42
