$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-130.53,-128.69,-127.86,-125.57,-130.2,-131.38,-127.78,-127.71,-131.56,-128.77
$\nu=1.5$,-130.44,-128.68,-127.79,-125.53,-130.22,-131.32,-127.13,-127.21,-131.55,-128.58
$\nu=2.5$,-130.39,-128.67,-127.73,-125.53,-130.21,-131.28,-127.0,-127.11,-131.55,-128.5
$\nu=\infty$,-130.3,-128.62,-127.59,-125.45,-130.14,-131.22,-126.82,-126.97,-131.53,-128.34
