$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-115.79,-111.9,-112.59,-107.99,-111.33,-114.36,-110.5,-106.73,-117.0,-113.53
$\nu=1.5$,-115.78,-111.35,-112.3,-107.21,-110.53,-114.28,-109.72,-106.58,-117.0,-113.37
$\nu=2.5$,-115.77,-111.16,-112.22,-107.15,-110.35,-114.25,-109.53,-106.53,-117.0,-113.35
$\nu=\infty$,-115.72,-110.81,-112.14,-107.21,-110.12,-114.16,-109.32,-106.54,-116.99,-113.31
