$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-1447.79,-122.75,-38381387316.99,-40350121062.34,-121.9,-222895459664.0,-287541234552.42,-225807614820.99,-369983690363.46,-53349365465.2,-122.03
$\nu=1.5$,-8125440.63,-125.49,-38381286898.29,-40349944267.95,-121.92,-222895506472.52,-287541361484.14,-225807188392.48,-369983813913.91,-53349215739.51,-122.03
$\nu=2.5$,-14616579.89,-127.18,-38381201943.58,-40349912801.08,-121.91,-222895507281.16,-287541407234.98,-225807176230.73,-369983813913.91,-53349163681.34,-122.03
$\nu=\infty$,-24342598.01,-130.64,-38381200309.5,-40350040812.28,-121.88,-222895507265.58,-287541445791.52,-225807325521.38,-369983691828.39,-53349043604.95,-122.03
