$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-141.8,-142.0,-140.34,-141.72,-140.57,-140.17,-142.56,-142.11,-141.11,-141.06,-141.41
$\nu=1.5$,-141.8,-142.04,-140.03,-141.62,-140.23,-139.84,-142.43,-142.02,-141.11,-141.06,-141.14
$\nu=2.5$,-141.8,-142.04,-139.93,-141.57,-140.12,-139.73,-142.4,-142.0,-141.11,-141.06,-141.04
$\nu=\infty$,-141.8,-142.0,-139.75,-141.47,-139.92,-139.55,-142.35,-141.95,-141.11,-141.06,-140.9
