$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-7159986654.08,-1439834314.81,-23317486266.25,-5086015426.68,-130.54,-24708022067.17,-352928776278.24,-207048666091.95,-305302688581.5,-32782618358.96
$\nu=1.5$,-7163398535.33,-1441181100.93,-23317271567.69,-5086230158.59,-130.47,-24708022960.4,-352928725592.44,-207048813225.25,-305302210609.4,-32782392254.96
$\nu=2.5$,-7166022975.29,-1442257757.31,-23317323539.39,-5086360257.01,-130.45,-24708022062.8,-352928762812.56,-207048833601.9,-305302127444.49,-32782415052.07
$\nu=\infty$,-7169955231.98,-1443872079.71,-23317275971.22,-5086469229.0,-130.39,-24708021369.21,-352928699527.38,-207048789329.31,-305302250436.93,-32782478136.29
