$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-7484968004.89,-1505159552.8,-33575683145.14,-5316704989.1,-127.68,-25829024459.13,-343601843244.04,-231231214261.32,-298239374697.24,-34270373486.25
$\nu=1.5$,-7487394827.66,-1506533406.17,-33575404471.94,-5317004339.27,-127.63,-25829024966.82,-343601884874.16,-231230672386.93,-298239335220.96,-34269704976.86
$\nu=2.5$,-7489334467.27,-1507631713.46,-33575479377.11,-5317085598.83,-127.61,-25829023521.55,-343601871479.59,-231230670490.34,-298239366312.39,-34269698056.88
$\nu=\infty$,-7492241833.36,-1509278527.9,-33575348154.72,-5317228046.48,-127.55,-25829022801.8,-343601908359.3,-231230732411.37,-298239414934.75,-34269752088.24
