$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,10.57,10.65,10.93,10.53,10.77,10.85,10.5,10.56,10.77,10.82
$\nu=1.5$,10.56,10.65,10.94,10.57,10.84,10.87,10.48,10.56,10.77,10.82
$\nu=2.5$,10.56,10.65,10.94,10.59,10.87,10.88,10.48,10.56,10.77,10.82
$\nu=\infty$,10.56,10.61,10.92,10.63,10.93,10.91,10.47,10.44,10.77,10.82
