$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,16.66,14.72,15.51,14.39,14.61,15.46,15.16,14.74,16.21,15.27
$\nu=1.5$,16.38,14.81,15.5,14.09,14.6,15.52,14.92,14.57,16.27,15.26
$\nu=2.5$,16.39,14.85,15.51,14.05,14.65,15.53,14.88,14.55,16.28,15.24
$\nu=\infty$,16.42,14.88,15.54,14.01,14.67,15.54,14.87,14.54,16.28,15.2
