$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,16.97,15.03,16.31,16.11,16.23,14.97,16.78,16.5,15.78,15.64
$\nu=1.5$,20.28,14.96,16.31,16.11,16.2,14.97,16.78,16.5,15.78,15.64
$\nu=2.5$,19.18,14.93,16.31,16.11,16.19,14.97,16.78,16.5,15.78,15.64
$\nu=\infty$,16.96,14.88,16.31,16.1,16.17,14.97,16.78,16.3,15.79,30.67
