$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,32.44,27.86,30.89,28.16,32.14,31.77,30.38,30.79,30.04,28.93
$\nu=1.5$,32.42,28.39,30.59,28.45,32.17,31.77,30.29,31.01,30.15,28.77
$\nu=2.5$,32.45,28.39,30.54,28.46,32.17,31.77,30.3,31.09,29.48,28.73
$\nu=\infty$,32.51,28.38,30.55,28.48,32.16,31.77,30.38,31.22,29.42,28.72
