$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,10.58,10.94,12.91,11.06,10.94,11.21,10.8,11.68,11.22,11.66
$\nu=1.5$,10.58,10.99,12.91,11.1,10.94,11.3,10.8,16.79,11.22,11.52
$\nu=2.5$,10.56,10.99,12.91,12.12,10.94,11.3,10.8,14.29,11.22,11.52
$\nu=\infty$,10.54,10.98,12.91,11.07,10.94,11.3,10.8,11.51,11.22,11.52
