$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,10.74,10.23,10.87,10.11,10.69,11.07,10.33,10.41,10.94,11.2,10.37
$\nu=1.5$,10.74,10.22,10.91,10.1,10.71,11.1,10.32,10.3,10.94,11.2,10.35
$\nu=2.5$,10.74,10.21,10.92,10.12,10.72,11.11,10.32,10.28,10.94,11.2,10.33
$\nu=\infty$,10.73,10.18,10.93,10.15,10.73,11.14,10.32,10.27,10.94,11.2,10.32
