$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,10.72,10.81,10.92,10.64,10.88,11.03,10.51,10.43,10.88,11.02,10.43
$\nu=1.5$,10.72,10.81,10.95,10.69,10.96,11.06,10.5,10.38,10.88,11.02,10.38
$\nu=2.5$,10.72,10.76,10.95,10.7,10.99,11.07,10.49,10.38,10.88,11.02,10.36
$\nu=\infty$,10.72,10.36,10.96,10.74,11.06,11.11,10.48,10.37,10.88,11.02,10.34
