$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,10.75,11.09,12.66,11.15,11.07,11.34,10.8,11.88,11.27,11.6
$\nu=1.5$,10.76,11.14,12.66,11.22,11.07,11.51,10.83,11.97,11.27,11.6
$\nu=2.5$,10.74,11.14,12.66,11.15,11.06,11.51,10.83,11.97,11.27,11.6
$\nu=\infty$,10.71,11.14,12.66,11.16,11.06,11.51,10.81,11.97,11.44,11.6
