$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,12.12,11.44,11.77,11.14,11.33,11.4,12.28,12.49,10.73,12.14,11.42
$\nu=1.5$,13.87,11.44,11.77,11.15,11.3,9.51,12.72,12.49,10.73,12.03,11.42
$\nu=2.5$,12.83,11.44,11.77,11.15,11.3,10.9,12.5,12.49,10.73,12.1,11.42
$\nu=\infty$,12.1,11.44,11.77,11.15,11.3,11.9,13.09,11.91,10.73,67.78,11.42
