$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,11.58,10.88,11.22,10.68,10.79,10.64,11.67,11.71,10.2,11.13,10.86
$\nu=1.5$,16.61,10.89,11.22,10.68,10.74,8.97,11.68,11.71,10.19,11.13,10.86
$\nu=2.5$,15.09,10.89,11.22,10.69,10.74,8.97,11.94,11.71,10.19,11.13,10.86
$\nu=\infty$,11.54,10.88,11.22,10.69,10.74,11.31,13.32,11.71,10.19,11.13,10.86
