$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,10.81,11.05,12.91,11.14,11.07,11.42,10.94,11.86,11.3,12.18,10.76
$\nu=1.5$,10.81,11.08,13.24,11.14,11.08,11.63,10.94,11.86,11.28,12.18,10.74
$\nu=2.5$,10.79,11.08,12.71,11.55,11.07,11.63,10.94,11.82,11.29,12.18,10.73
$\nu=\infty$,10.75,11.07,12.71,11.15,11.07,11.63,10.94,11.86,11.45,12.18,10.7
