$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,8.93,9.16,10.62,9.15,9.21,9.35,9.33,9.64,9.36,9.4
$\nu=1.5$,8.93,9.18,10.62,9.24,9.21,9.49,9.34,11.67,9.36,9.77
$\nu=2.5$,8.92,9.18,10.62,9.87,9.21,9.49,9.34,10.67,9.36,9.77
$\nu=\infty$,8.9,9.17,10.62,9.18,9.21,9.49,9.34,9.52,9.36,9.77
