$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,8.49,8.21,8.27,7.88,7.79,7.6,8.56,8.44,7.88,8.21
$\nu=1.5$,8.59,8.17,8.18,7.9,7.73,7.68,8.52,8.6,7.88,8.3
$\nu=2.5$,8.61,8.15,8.17,7.94,7.75,7.7,8.54,8.66,7.88,8.3
$\nu=\infty$,8.64,8.13,8.16,7.99,7.76,7.72,8.56,8.1,7.88,8.3
