$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,9.11,9.23,10.55,9.18,9.27,9.29,9.35,9.63,9.33,10.24,9.1
$\nu=1.5$,9.11,9.24,10.74,9.18,9.28,9.63,9.35,9.63,9.31,10.24,9.08
$\nu=2.5$,9.09,9.24,10.39,9.64,9.27,9.63,9.35,9.57,9.31,10.24,9.07
$\nu=\infty$,9.06,9.23,10.39,9.2,9.27,9.63,9.35,9.63,9.45,10.24,9.05
