$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,27.59,25.05,27.79,25.29,26.92,26.51,26.27,26.91,25.71,25.19,25.02
$\nu=1.5$,27.6,25.42,27.58,25.53,27.1,26.51,26.12,27.16,25.76,25.23,25.25
$\nu=2.5$,27.65,25.41,27.51,25.55,27.1,26.51,26.08,27.26,24.97,25.2,25.31
$\nu=\infty$,27.72,25.4,27.5,25.59,27.13,26.52,26.09,27.4,24.87,25.19,25.44
