$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,27.43,25.92,30.27,26.58,27.09,26.46,26.06,27.26,25.26,27.64,24.74
$\nu=1.5$,27.44,25.68,30.27,27.08,27.1,26.46,26.06,27.26,25.04,27.64,25.94
$\nu=2.5$,27.44,25.61,30.27,27.0,27.1,26.46,26.06,27.26,25.05,27.64,26.24
$\nu=\infty$,27.46,25.48,30.27,26.57,27.13,26.47,26.06,26.86,25.04,27.64,26.4
