$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,27.94,26.49,30.34,27.17,27.65,26.9,27.42,28.6,26.25,28.18,24.72
$\nu=1.5$,27.94,26.24,30.34,27.61,27.65,26.9,27.42,28.6,25.62,28.12,25.84
$\nu=2.5$,27.94,26.17,30.34,27.52,27.66,26.9,27.42,28.6,25.6,28.12,26.17
$\nu=\infty$,27.95,26.04,30.34,27.16,27.68,26.9,27.42,28.6,25.31,28.12,26.52
