$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,8.95,9.04,9.29,8.87,9.06,9.14,8.88,8.98,9.16,9.23,9.01
$\nu=1.5$,8.95,9.04,9.29,8.93,9.11,9.16,8.86,8.98,9.16,9.23,8.99
$\nu=2.5$,8.94,9.04,9.28,8.96,9.13,9.18,8.86,8.98,9.16,9.23,8.98
$\nu=\infty$,8.94,9.0,9.26,9.0,9.16,9.2,8.85,8.74,9.16,9.23,8.95
