$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,9.05,8.5,9.12,8.35,8.66,9.18,8.7,8.64,9.21,9.58,8.52
$\nu=1.5$,9.04,8.48,9.13,8.38,8.68,9.22,8.69,8.55,9.21,9.58,8.49
$\nu=2.5$,9.04,8.47,9.13,8.39,8.67,9.23,8.69,8.54,9.21,9.58,8.48
$\nu=\infty$,9.03,8.44,9.12,8.41,8.67,9.27,8.68,8.52,9.21,9.58,8.46
