$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,9.07,9.18,9.2,8.97,9.09,9.22,8.8,8.67,9.22,9.4
$\nu=1.5$,9.07,9.18,9.2,9.01,9.15,9.25,8.78,8.62,9.22,9.4
$\nu=2.5$,9.07,9.14,9.19,9.03,9.17,9.26,8.78,8.62,9.22,9.4
$\nu=\infty$,9.07,8.63,9.18,9.06,9.22,9.3,8.77,8.61,9.22,9.4
