$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,11.96,10.88,11.4,10.77,10.9,11.06,11.45,11.05,11.52,10.8,11.15
$\nu=1.5$,11.81,11.01,11.36,10.69,10.77,11.15,11.26,10.98,11.59,10.81,11.06
$\nu=2.5$,11.83,11.05,11.35,10.67,10.77,11.17,11.23,10.97,11.61,10.8,11.04
$\nu=\infty$,11.86,11.07,11.36,10.65,10.78,11.18,11.22,10.98,11.61,10.76,11.0
