$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,9.05,8.52,8.98,8.31,8.32,8.39,9.12,9.22,7.81,8.28
$\nu=1.5$,10.55,8.53,8.98,8.32,8.32,6.92,9.13,9.22,7.77,8.28
$\nu=2.5$,10.19,8.52,8.98,8.32,8.32,6.92,9.4,9.22,7.78,8.28
$\nu=\infty$,9.03,8.52,8.98,8.32,8.32,8.24,10.18,9.22,7.78,8.28
