$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,27.92,25.22,27.76,25.47,27.65,27.07,27.02,26.71,26.32,25.78,25.06
$\nu=1.5$,27.9,25.64,27.6,25.72,27.65,27.07,26.72,26.86,25.62,25.75,25.27
$\nu=2.5$,27.9,25.66,27.55,25.74,27.66,27.07,26.65,26.96,25.51,25.73,25.34
$\nu=\infty$,27.93,25.66,27.58,25.77,27.68,27.07,26.67,27.12,25.44,25.74,25.47
