$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,8.88,8.7,8.48,8.08,8.08,8.03,8.82,9.06,8.36,8.61
$\nu=1.5$,8.86,8.63,8.36,8.02,8.0,8.11,8.79,9.19,8.37,8.72
$\nu=2.5$,8.86,8.59,8.35,8.04,8.01,8.13,8.8,9.24,8.37,8.74
$\nu=\infty$,8.84,8.54,8.35,8.08,8.01,8.16,8.82,9.31,8.37,8.78
