$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,12.38,10.93,12.39,11.59,11.64,10.54,12.79,12.66,11.11,11.2
$\nu=1.5$,13.72,10.89,12.39,11.59,11.63,10.54,12.79,12.66,11.11,11.2
$\nu=2.5$,13.39,10.88,12.39,11.59,11.62,10.54,12.79,12.66,11.13,11.2
$\nu=\infty$,12.36,10.85,12.39,11.59,11.61,10.54,12.79,12.4,11.16,20.61
