$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-0.57,-0.23,-0.45,-0.41,-0.43,-0.22,-0.53,-0.48,-0.35,-0.33,-0.48
$\nu=1.5$,-1.24,-0.22,-0.45,-0.41,-0.43,-0.22,-0.53,-0.48,-0.35,-0.33,-0.48
$\nu=2.5$,-1.0,-0.21,-0.45,-0.41,-0.43,-0.22,-0.53,-0.48,-0.35,-0.33,-0.48
$\nu=\infty$,-0.56,-0.2,-0.45,-0.41,-0.42,-0.22,-0.53,-0.44,-0.36,-4.12,-0.48
