$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-0.7,-0.5,-0.6,-0.44,-0.47,-0.44,-0.73,-0.74,-0.32,-0.57,-0.5
$\nu=1.5$,-2.5,-0.5,-0.6,-0.45,-0.46,-0.02,-0.73,-0.74,-0.32,-0.57,-0.5
$\nu=2.5$,-1.88,-0.5,-0.6,-0.45,-0.46,-0.02,-0.81,-0.74,-0.32,-0.57,-0.5
$\nu=\infty$,-0.69,-0.5,-0.6,-0.45,-0.46,-0.62,-1.25,-0.74,-0.32,-0.57,-0.5
