$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-0.54,-0.64,-1.29,-0.68,-0.64,-0.72,-0.6,-0.87,-0.73,-0.87
$\nu=1.5$,-0.54,-0.66,-1.29,-0.69,-0.64,-0.75,-0.6,-2.87,-0.73,-0.82
$\nu=2.5$,-0.53,-0.66,-1.29,-1.02,-0.64,-0.75,-0.6,-1.8,-0.73,-0.82
$\nu=\infty$,-0.52,-0.66,-1.29,-0.68,-0.64,-0.75,-0.6,-0.82,-0.73,-0.82
