$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-0.53,-0.41,-0.42,-0.36,-0.35,-0.26,-0.56,-0.61,-0.4,-0.45,-0.35
$\nu=1.5$,-0.52,-0.38,-0.42,-0.35,-0.33,-0.28,-0.55,-0.64,-0.4,-0.47,-0.34
$\nu=2.5$,-0.52,-0.38,-0.42,-0.35,-0.33,-0.28,-0.55,-0.66,-0.4,-0.47,-0.34
$\nu=\infty$,-0.52,-0.36,-0.43,-0.36,-0.33,-0.29,-0.55,-0.68,-0.4,-0.48,-0.34
