$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10
$\nu=0.5$,-0.49,-0.33,-0.41,-0.38,-0.33,-0.21,-0.53,-0.44,-0.33,-0.35
$\nu=1.5$,-0.54,-0.33,-0.4,-0.37,-0.32,-0.22,-0.52,-0.48,-0.33,-0.37
$\nu=2.5$,-0.54,-0.33,-0.4,-0.37,-0.32,-0.22,-0.53,-0.5,-0.33,-0.37
$\nu=\infty$,-0.55,-0.32,-0.4,-0.38,-0.33,-0.23,-0.53,-0.36,-0.33,-0.36
