$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-0.51,-0.18,-0.31,-0.13,-0.16,-0.3,-0.25,-0.18,-0.43,-0.27,-0.19
$\nu=1.5$,-0.46,-0.19,-0.31,-0.08,-0.16,-0.31,-0.21,-0.16,-0.44,-0.27,-0.16
$\nu=2.5$,-0.46,-0.2,-0.31,-0.07,-0.17,-0.31,-0.2,-0.15,-0.44,-0.26,-0.16
$\nu=\infty$,-0.47,-0.2,-0.31,-0.07,-0.17,-0.31,-0.2,-0.15,-0.44,-0.26,-0.15
