$k_{Matérn}$,1,2,3,4,5,6,7,8,9,10,11
$\nu=0.5$,-0.38,-0.25,-0.41,-0.22,-0.37,-0.46,-0.28,-0.29,-0.43,-0.5,-0.29
$\nu=1.5$,-0.38,-0.25,-0.42,-0.22,-0.37,-0.47,-0.27,-0.27,-0.43,-0.5,-0.28
$\nu=2.5$,-0.38,-0.25,-0.43,-0.22,-0.37,-0.48,-0.27,-0.26,-0.43,-0.5,-0.28
$\nu=\infty$,-0.38,-0.24,-0.43,-0.23,-0.38,-0.48,-0.27,-0.26,-0.43,-0.5,-0.27
